#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,workpackage
,,0,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-01T00:00:00Z,0.8461538461538461,value,kpi_1,wp1007
,,0,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-15T00:00:00Z,0.9259259259259259,value,kpi_1,wp1007
,,0,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-29T00:00:00Z,0.9512195121951219,value,kpi_1,wp1007
,,0,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-12T00:00:00Z,0.9636363636363636,value,kpi_1,wp1007
,,0,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-26T00:00:00Z,0.9710144927536232,value,kpi_1,wp1007
,,1,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-01T00:00:00Z,0,value,kpi_1,wp1020
,,1,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-15T00:00:00Z,0,value,kpi_1,wp1020
,,1,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-29T00:00:00Z,0,value,kpi_1,wp1020
,,1,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-12T00:00:00Z,0,value,kpi_1,wp1020
,,1,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-26T00:00:00Z,0,value,kpi_1,wp1020
,,2,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-01T00:00:00Z,0,value,kpi_1,wp1027
,,2,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-15T00:00:00Z,0,value,kpi_1,wp1027
,,2,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-29T00:00:00Z,0,value,kpi_1,wp1027
,,2,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-12T00:00:00Z,0,value,kpi_1,wp1027
,,2,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-26T00:00:00Z,0,value,kpi_1,wp1027
,,3,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-01T00:00:00Z,0.7272727272727273,value,kpi_1,wp1008
,,3,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-15T00:00:00Z,0.88,value,kpi_1,wp1008
,,3,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-29T00:00:00Z,0.9230769230769231,value,kpi_1,wp1008
,,3,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-12T00:00:00Z,0.9433962264150944,value,kpi_1,wp1008
,,3,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-26T00:00:00Z,0.9552238805970149,value,kpi_1,wp1008
,,4,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-01T00:00:00Z,0.5,value,kpi_1,wp1009
,,4,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-15T00:00:00Z,0.5,value,kpi_1,wp1009
,,4,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-29T00:00:00Z,0.5,value,kpi_1,wp1009
,,4,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-12T00:00:00Z,0.5,value,kpi_1,wp1009
,,4,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-26T00:00:00Z,0.5,value,kpi_1,wp1009
,,5,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-01T00:00:00Z,0.64,value,kpi_1,wp1001
,,5,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-15T00:00:00Z,0.64,value,kpi_1,wp1001
,,5,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-29T00:00:00Z,0.64,value,kpi_1,wp1001
,,5,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-12T00:00:00Z,0.64,value,kpi_1,wp1001
,,5,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-26T00:00:00Z,0.64,value,kpi_1,wp1001
,,6,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-01T00:00:00Z,0.9,value,kpi_1,wp1004
,,6,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-15T00:00:00Z,0.9411764705882353,value,kpi_1,wp1004
,,6,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-29T00:00:00Z,0.9583333333333334,value,kpi_1,wp1004
,,6,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-12T00:00:00Z,0.967741935483871,value,kpi_1,wp1004
,,6,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-26T00:00:00Z,0.9736842105263158,value,kpi_1,wp1004
,,7,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-01T00:00:00Z,0,value,kpi_1,wp1023
,,7,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-15T00:00:00Z,0,value,kpi_1,wp1023
,,7,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-29T00:00:00Z,0,value,kpi_1,wp1023
,,7,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-12T00:00:00Z,0,value,kpi_1,wp1023
,,7,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-26T00:00:00Z,0,value,kpi_1,wp1023
,,8,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-01T00:00:00Z,0,value,kpi_1,wp1025
,,8,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-15T00:00:00Z,0,value,kpi_1,wp1025
,,8,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-29T00:00:00Z,0,value,kpi_1,wp1025
,,8,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-12T00:00:00Z,0,value,kpi_1,wp1025
,,8,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-26T00:00:00Z,0,value,kpi_1,wp1025
,,9,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-01T00:00:00Z,0,value,kpi_1,wp1022
,,9,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-15T00:00:00Z,0,value,kpi_1,wp1022
,,9,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-29T00:00:00Z,0,value,kpi_1,wp1022
,,9,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-12T00:00:00Z,0,value,kpi_1,wp1022
,,9,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-26T00:00:00Z,0,value,kpi_1,wp1022
,,10,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-01T00:00:00Z,0,value,kpi_1,wp1011
,,10,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-15T00:00:00Z,0,value,kpi_1,wp1011
,,10,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-29T00:00:00Z,0.13793103448275862,value,kpi_1,wp1011
,,10,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-12T00:00:00Z,0.4186046511627907,value,kpi_1,wp1011
,,10,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-04-26T00:00:00Z,0.5614035087719298,value,kpi_1,wp1011
,,11,2021-12-31T23:00:00Z,2022-07-01T21:59:00Z,2022-03-01T00:00:00Z,0.8333333333333334,value,kpi_1,wp1005
